sku,name,category,quantity,reorder_level,location,supplier
HSP00001,"PPE Item 1",PPE,134,26,"Ward 9 - Shelf 5",Supplier 2
HSP00002,"Equipment Item 2",Equipment,69,13,"Ward 9 - Shelf 1",Supplier 3
HSP00003,"Medication Item 3",Medication,3,10,"Ward 8 - Shelf 5",Supplier 4
HSP00004,"Surgical Item 4",Surgical,154,30,"Ward 7 - Shelf 5",Supplier 5
HSP00005,"Diagnostics Item 5",Diagnostics,9,10,"Ward 5 - Shelf 4",Supplier 6
HSP00006,"Cleaning Item 6",Cleaning,24,10,"Ward 7 - Shelf 3",Supplier 7
HSP00007,"Office Item 7",Office,11,10,"Ward 6 - Shelf 1",Supplier 8
HSP00008,"Consumables Item 8",Consumables,178,35,"Ward 9 - Shelf 5",Supplier 9
HSP00009,"PPE Item 9",PPE,179,35,"Ward 4 - Shelf 4",Supplier 10
HSP00010,"Equipment Item 10",Equipment,48,10,"Ward 1 - Shelf 1",Supplier 1
HSP00011,"Medication Item 11",Medication,127,25,"Ward 6 - Shelf 1",Supplier 2
HSP00012,"Surgical Item 12",Surgical,88,17,"Ward 8 - Shelf 6",Supplier 3
HSP00013,"Diagnostics Item 13",Diagnostics,52,10,"Ward 6 - Shelf 6",Supplier 4
HSP00014,"Cleaning Item 14",Cleaning,70,14,"Ward 3 - Shelf 1",Supplier 5
HSP00015,"Office Item 15",Office,123,24,"Ward 6 - Shelf 5",Supplier 6
HSP00016,"Consumables Item 16",Consumables,42,10,"Ward 3 - Shelf 2",Supplier 7
HSP00017,"PPE Item 17",PPE,86,17,"Ward 2 - Shelf 3",Supplier 8
HSP00018,"Equipment Item 18",Equipment,177,35,"Ward 6 - Shelf 6",Supplier 9
HSP00019,"Medication Item 19",Medication,80,16,"Ward 7 - Shelf 2",Supplier 10
HSP00020,"Surgical Item 20",Surgical,135,27,"Ward 7 - Shelf 6",Supplier 1
HSP00021,"Diagnostics Item 21",Diagnostics,25,10,"Ward 10 - Shelf 5",Supplier 2
HSP00022,"Cleaning Item 22",Cleaning,166,33,"Ward 5 - Shelf 5",Supplier 3
HSP00023,"Office Item 23",Office,146,29,"Ward 8 - Shelf 4",Supplier 4
HSP00024,"Consumables Item 24",Consumables,10,10,"Ward 2 - Shelf 2",Supplier 5
HSP00025,"PPE Item 25",PPE,76,15,"Ward 1 - Shelf 4",Supplier 6
HSP00026,"Equipment Item 26",Equipment,9,10,"Ward 1 - Shelf 1",Supplier 7
HSP00027,"Medication Item 27",Medication,175,35,"Ward 2 - Shelf 1",Supplier 8
HSP00028,"Surgical Item 28",Surgical,23,10,"Ward 10 - Shelf 6",Supplier 9
HSP00029,"Diagnostics Item 29",Diagnostics,176,35,"Ward 10 - Shelf 2",Supplier 10
HSP00030,"Cleaning Item 30",Cleaning,97,19,"Ward 4 - Shelf 2",Supplier 1
HSP00031,"Office Item 31",Office,38,10,"Ward 7 - Shelf 3",Supplier 2
HSP00032,"Consumables Item 32",Consumables,132,26,"Ward 7 - Shelf 2",Supplier 3
HSP00033,"PPE Item 33",PPE,65,13,"Ward 7 - Shelf 5",Supplier 4
HSP00034,"Equipment Item 34",Equipment,174,34,"Ward 5 - Shelf 6",Supplier 5
HSP00035,"Medication Item 35",Medication,152,30,"Ward 8 - Shelf 1",Supplier 6
HSP00036,"Surgical Item 36",Surgical,79,15,"Ward 7 - Shelf 6",Supplier 7
HSP00037,"Diagnostics Item 37",Diagnostics,192,38,"Ward 8 - Shelf 1",Supplier 8
HSP00038,"Cleaning Item 38",Cleaning,94,18,"Ward 6 - Shelf 5",Supplier 9
HSP00039,"Office Item 39",Office,52,10,"Ward 8 - Shelf 5",Supplier 10
HSP00040,"Consumables Item 40",Consumables,143,28,"Ward 4 - Shelf 5",Supplier 1
HSP00041,"PPE Item 41",PPE,25,10,"Ward 1 - Shelf 2",Supplier 2
HSP00042,"Equipment Item 42",Equipment,112,22,"Ward 7 - Shelf 3",Supplier 3
HSP00043,"Medication Item 43",Medication,125,25,"Ward 7 - Shelf 2",Supplier 4
HSP00044,"Surgical Item 44",Surgical,166,33,"Ward 2 - Shelf 1",Supplier 5
HSP00045,"Diagnostics Item 45",Diagnostics,141,28,"Ward 5 - Shelf 3",Supplier 6
HSP00046,"Cleaning Item 46",Cleaning,189,37,"Ward 3 - Shelf 5",Supplier 7
HSP00047,"Office Item 47",Office,180,36,"Ward 6 - Shelf 1",Supplier 8
HSP00048,"Consumables Item 48",Consumables,116,23,"Ward 10 - Shelf 4",Supplier 9
HSP00049,"PPE Item 49",PPE,8,10,"Ward 1 - Shelf 6",Supplier 10
HSP00050,"Equipment Item 50",Equipment,17,10,"Ward 4 - Shelf 5",Supplier 1
HSP00051,"Medication Item 51",Medication,12,10,"Ward 10 - Shelf 1",Supplier 2
HSP00052,"Surgical Item 52",Surgical,27,10,"Ward 5 - Shelf 6",Supplier 3
HSP00053,"Diagnostics Item 53",Diagnostics,158,31,"Ward 1 - Shelf 3",Supplier 4
HSP00054,"Cleaning Item 54",Cleaning,174,34,"Ward 4 - Shelf 3",Supplier 5
HSP00055,"Office Item 55",Office,28,10,"Ward 5 - Shelf 2",Supplier 6
HSP00056,"Consumables Item 56",Consumables,173,34,"Ward 9 - Shelf 2",Supplier 7
HSP00057,"PPE Item 57",PPE,13,10,"Ward 9 - Shelf 6",Supplier 8
HSP00058,"Equipment Item 58",Equipment,61,12,"Ward 1 - Shelf 4",Supplier 9
HSP00059,"Medication Item 59",Medication,145,29,"Ward 5 - Shelf 5",Supplier 10
HSP00060,"Surgical Item 60",Surgical,200,40,"Ward 4 - Shelf 2",Supplier 1
HSP00061,"Diagnostics Item 61",Diagnostics,162,32,"Ward 8 - Shelf 3",Supplier 2
HSP00062,"Cleaning Item 62",Cleaning,94,18,"Ward 7 - Shelf 6",Supplier 3
HSP00063,"Office Item 63",Office,0,10,"Ward 3 - Shelf 6",Supplier 4
HSP00064,"Consumables Item 64",Consumables,102,20,"Ward 7 - Shelf 1",Supplier 5
HSP00065,"PPE Item 65",PPE,49,10,"Ward 5 - Shelf 1",Supplier 6
HSP00066,"Equipment Item 66",Equipment,139,27,"Ward 9 - Shelf 2",Supplier 7
HSP00067,"Medication Item 67",Medication,40,10,"Ward 3 - Shelf 6",Supplier 8
HSP00068,"Surgical Item 68",Surgical,160,32,"Ward 6 - Shelf 3",Supplier 9
HSP00069,"Diagnostics Item 69",Diagnostics,171,34,"Ward 8 - Shelf 3",Supplier 10
HSP00070,"Cleaning Item 70",Cleaning,35,10,"Ward 8 - Shelf 1",Supplier 1
HSP00071,"Office Item 71",Office,57,11,"Ward 9 - Shelf 5",Supplier 2
HSP00072,"Consumables Item 72",Consumables,151,30,"Ward 4 - Shelf 6",Supplier 3
HSP00073,"PPE Item 73",PPE,105,21,"Ward 8 - Shelf 5",Supplier 4
HSP00074,"Equipment Item 74",Equipment,150,30,"Ward 8 - Shelf 3",Supplier 5
HSP00075,"Medication Item 75",Medication,73,14,"Ward 10 - Shelf 2",Supplier 6
HSP00076,"Surgical Item 76",Surgical,54,10,"Ward 7 - Shelf 1",Supplier 7
HSP00077,"Diagnostics Item 77",Diagnostics,5,10,"Ward 8 - Shelf 2",Supplier 8
HSP00078,"Cleaning Item 78",Cleaning,49,10,"Ward 9 - Shelf 3",Supplier 9
HSP00079,"Office Item 79",Office,24,10,"Ward 9 - Shelf 4",Supplier 10
HSP00080,"Consumables Item 80",Consumables,121,24,"Ward 10 - Shelf 3",Supplier 1
HSP00081,"PPE Item 81",PPE,179,35,"Ward 3 - Shelf 5",Supplier 2
HSP00082,"Equipment Item 82",Equipment,11,10,"Ward 7 - Shelf 6",Supplier 3
HSP00083,"Medication Item 83",Medication,100,20,"Ward 5 - Shelf 4",Supplier 4
HSP00084,"Surgical Item 84",Surgical,54,10,"Ward 2 - Shelf 3",Supplier 5
HSP00085,"Diagnostics Item 85",Diagnostics,159,31,"Ward 2 - Shelf 5",Supplier 6
HSP00086,"Cleaning Item 86",Cleaning,49,10,"Ward 1 - Shelf 2",Supplier 7
HSP00087,"Office Item 87",Office,82,16,"Ward 6 - Shelf 3",Supplier 8
HSP00088,"Consumables Item 88",Consumables,121,24,"Ward 4 - Shelf 5",Supplier 9
HSP00089,"PPE Item 89",PPE,113,22,"Ward 3 - Shelf 1",Supplier 10
HSP00090,"Equipment Item 90",Equipment,26,10,"Ward 7 - Shelf 5",Supplier 1
HSP00091,"Medication Item 91",Medication,146,29,"Ward 1 - Shelf 4",Supplier 2
HSP00092,"Surgical Item 92",Surgical,43,10,"Ward 2 - Shelf 1",Supplier 3
HSP00093,"Diagnostics Item 93",Diagnostics,79,15,"Ward 4 - Shelf 6",Supplier 4
HSP00094,"Cleaning Item 94",Cleaning,177,35,"Ward 10 - Shelf 3",Supplier 5
HSP00095,"Office Item 95",Office,13,10,"Ward 4 - Shelf 1",Supplier 6
HSP00096,"Consumables Item 96",Consumables,128,25,"Ward 3 - Shelf 4",Supplier 7
HSP00097,"PPE Item 97",PPE,112,22,"Ward 3 - Shelf 5",Supplier 8
HSP00098,"Equipment Item 98",Equipment,129,25,"Ward 4 - Shelf 5",Supplier 9
HSP00099,"Medication Item 99",Medication,7,10,"Ward 10 - Shelf 4",Supplier 10
HSP00100,"Surgical Item 100",Surgical,66,13,"Ward 6 - Shelf 6",Supplier 1
HSP00101,"Diagnostics Item 101",Diagnostics,11,10,"Ward 1 - Shelf 6",Supplier 2
HSP00102,"Cleaning Item 102",Cleaning,126,25,"Ward 6 - Shelf 4",Supplier 3
HSP00103,"Office Item 103",Office,87,17,"Ward 9 - Shelf 1",Supplier 4
HSP00104,"Consumables Item 104",Consumables,178,35,"Ward 10 - Shelf 5",Supplier 5
HSP00105,"PPE Item 105",PPE,42,10,"Ward 10 - Shelf 1",Supplier 6
HSP00106,"Equipment Item 106",Equipment,180,36,"Ward 2 - Shelf 2",Supplier 7
HSP00107,"Medication Item 107",Medication,66,13,"Ward 6 - Shelf 3",Supplier 8
HSP00108,"Surgical Item 108",Surgical,3,10,"Ward 5 - Shelf 6",Supplier 9
HSP00109,"Diagnostics Item 109",Diagnostics,150,30,"Ward 5 - Shelf 6",Supplier 10
HSP00110,"Cleaning Item 110",Cleaning,126,25,"Ward 2 - Shelf 6",Supplier 1
HSP00111,"Office Item 111",Office,80,16,"Ward 3 - Shelf 6",Supplier 2
HSP00112,"Consumables Item 112",Consumables,121,24,"Ward 6 - Shelf 5",Supplier 3
HSP00113,"PPE Item 113",PPE,155,31,"Ward 4 - Shelf 2",Supplier 4
HSP00114,"Equipment Item 114",Equipment,72,14,"Ward 4 - Shelf 2",Supplier 5
HSP00115,"Medication Item 115",Medication,48,10,"Ward 3 - Shelf 4",Supplier 6
HSP00116,"Surgical Item 116",Surgical,41,10,"Ward 5 - Shelf 2",Supplier 7
HSP00117,"Diagnostics Item 117",Diagnostics,106,21,"Ward 10 - Shelf 3",Supplier 8
HSP00118,"Cleaning Item 118",Cleaning,64,12,"Ward 6 - Shelf 4",Supplier 9
HSP00119,"Office Item 119",Office,199,39,"Ward 2 - Shelf 2",Supplier 10
